,品牌名,车型,最低价,最高价,图片链接
0,奥迪,奥迪A4L,30.58万,39.68万,http://img1.bitautoimg.com/autoalbum/files/20200330/650/0549086506_6.jpg
1,奥迪,奥迪A6L,40.98万,65.38万,http://img2.bitautoimg.com/autoalbum/files/20190102/447/0320224472_6.png
2,奥迪,奥迪Q5L,38.78万,49.80万,http://img4.bitautoimg.com/autoalbum/files/20191203/577/0341295778_6.jpg
3,奥迪,奥迪A3,18.92万,25.27万,http://img3.bitautoimg.com/autoalbum/files/20190104/596/1156395964_6.png
4,奥迪,奥迪Q3,27.18万,36.18万,http://img3.bitautoimg.com/autoalbum/files/20190416/918/0333509185_6.png
5,奥迪,奥迪Q7,68.38万,99.88万,http://img1.bitautoimg.com/autoalbum/files/20191125/481/0354184811_6.jpg
6,奥迪,奥迪Q2L,21.88万,26.85万,http://img4.bitautoimg.com/autoalbum/files/20181218/424/0504034246_6.png
7,奥迪,奥迪A8L,83.88万,114.88万,http://img4.bitautoimg.com/autoalbum/files/20190102/377/1017283774_6.png
8,奥迪,奥迪A5,37.18万,56.38万,http://img3.bitautoimg.com/autoalbum/files/20190912/525/0437065252_6.jpg
9,奥迪,奥迪A7,57.38万,70.48万,http://img2.bitautoimg.com/autoalbum/files/20181206/361/0130013617_6.png
10,奥迪,奥迪A6,44.98万,56.08万,http://img2.bitautoimg.com/autoalbum/files/20200302/084/0644340847_6.jpg
11,奥迪,奥迪Q8,76.88万,101.88万,http://img2.bitautoimg.com/autoalbum/files/20190830/101/0534291016_6.jpg
12,奥迪,奥迪R8,195.28万,229.98万,http://img2.bitautoimg.com/autoalbum/files/20181213/060/0139150603_6.jpg
13,奥迪,奥迪RS 7,153.98万,153.98万,http://img2.bitautoimg.com/autoalbum/files/20191121/189/1230221897_6.jpg
14,奥迪,奥迪A4(进口),34.18万,42.78万,http://img1.bitautoimg.com/autoalbum/files/20191125/155/0354441550_6.jpg
15,奥迪,奥迪TT,45.38万,53.28万,http://img2.bitautoimg.com/autoalbum/files/20181213/497/0138284972_6.jpg
16,奥迪,奥迪S4,45.98万,45.98万,http://img1.bitautoimg.com/autoalbum/files/20190912/061/0439440615_6.jpg
17,奥迪,奥迪A3(进口),33.58万,33.58万,http://img1.bitautoimg.com/autoalbum/files/20180802/422/0336464228_6.png
18,奥迪,奥迪S3,36.38万,36.38万,http://img2.bitautoimg.com/autoalbum/files/20190102/412/0423384121_6.png
19,奥迪,奥迪A6L 插电混动,50.80万,50.80万,http://img4.bitautoimg.com/autoalbum/files/20191017/244/1028522449_6.jpg
20,奥迪,奥迪RS 5,84.68万,86.98万,http://img2.bitautoimg.com/autoalbum/files/20180802/591/0335325915_6.jpg
21,奥迪,奥迪RS 6,135.78万,135.78万,http://img1.bitautoimg.com/autoalbum/files/20191118/436/0548054368_6.jpg
22,奥迪,奥迪TT RS,76.98万,76.98万,http://img4.bitautoimg.com/autoalbum/files/20190102/501/0411585012_6.png
23,奥迪,奥迪S5,62.28万,69.88万,http://img2.bitautoimg.com/autoalbum/files/20190912/376/0440053762_6.jpg
24,奥迪,奥迪Q2L 纯电动,22.68万,23.73万,http://img2.bitautoimg.com/autoalbum/files/20191118/437/1145554373_6.jpg
25,奥迪,奥迪S7,123.08万,123.08万,http://img3.bitautoimg.com/autoalbum/files/20190912/327/0538203275_6.jpg
26,奥迪,奥迪RS 3,51.38万,51.38万,http://img3.bitautoimg.com/autoalbum/files/20181213/208/0219562083_6.jpg
27,奥迪,奥迪RS 4,82.28万,82.28万,http://img3.bitautoimg.com/autoalbum/files/20190318/451/0336384512_6.png
28,奥迪,奥迪S6,90.58万,90.58万,http://img4.bitautoimg.com/autoalbum/files/20190912/005/0526230052_6.jpg
29,奥迪,奥迪e-tron(进口),69.28万,82.86万,http://img1.bitautoimg.com/autoalbum/files/20190917/608/0336346081_6.jpg
30,奥迪,奥迪TTS,59.78万,63.48万,http://img3.bitautoimg.com/autoalbum/files/20181011/538/0738365382_6.png
31,奥迪,奥迪Q7 插电混动,79.08万,79.08万,http://img4.bitautoimg.com/autoalbum/files/20191009/835/0354488358_6.jpg
32,奥迪,奥迪S8,暂无,暂无,http://img4.bitautoimg.com/autoalbum/files/20191119/426/0459114260_6.jpg
33,奥迪,奥迪A1,暂无,暂无,http://img3.bitautoimg.com/autoalbum/files/20190912/887/0521598872_6.jpg
34,奥迪,奥迪RS Q8,暂无,暂无,http://img2.bitautoimg.com/autoalbum/files/20191216/124/0452011240_6.jpg
35,奥迪,奥迪RS Q3,暂无,暂无,http://img1.bitautoimg.com/autoalbum/files/20190927/303/0317393035_6.jpg
36,阿尔法·罗密欧,Giulia,37.98万,125.98万,http://img3.bitautoimg.com/autoalbum/files/20181213/379/0207273792_6.jpg
37,阿尔法·罗密欧,Stelvio,45.68万,127.98万,http://img1.bitautoimg.com/autoalbum/files/20181213/039/0217490392_6.jpg
38,阿尔法·罗密欧,Tonale,暂无,暂无,http://img4.bitautoimg.com/autoalbum/files/20190428/706/0140147067_6.jpg
39,阿斯顿·马丁,阿斯顿·马丁DBX,237.80万,237.80万,http://img3.bitautoimg.com/autoalbum/files/20191120/938/0346189380_6.jpg
40,阿斯顿·马丁,V8 Vantage,181.80万,259.80万,http://img3.bitautoimg.com/autoalbum/files/20180802/296/0320342967_6.png
41,阿斯顿·马丁,阿斯顿·马丁DBS,366.80万,500.70万,http://img3.bitautoimg.com/autoalbum/files/20190523/037/0340460374_6.jpg
42,阿斯顿·马丁,阿斯顿·马丁DB11,226.80万,306.80万,http://img2.bitautoimg.com/autoalbum/files/20190129/847/0927518473_6.png
43,阿斯顿·马丁,Vanquish,399.80万,409.80万,http://img1.bitautoimg.com/autoalbum/files/20150202/784/1023357847_6.jpg
